Link: http://www.foxnews.com/health/2017/10/13/michigan-mom-who-ignored-deal-to-vaccinate-son-loses-primary-custody.html
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
25475,15848,639,8988,,

Source,Followers,Date,Interactions,Post Type,Link
Fox News,15947778,Sat Oct 14 2017 11:30:00 GMT+0200 (CEST),15081,Facebook,https://www.facebook.com/FoxNews/posts/10156134289521336
Nursing Drug Handbook,354820,Tue Oct 17 2017 20:00:02 GMT+0200 (CEST),111,Facebook,https://www.facebook.com/NursingDrugHandbook/posts/1578999752158238
95.7 The Rock,123231,Sat Oct 14 2017 20:10:01 GMT+0200 (CEST),80,Facebook,https://www.facebook.com/957therock/posts/1664672000262589
Jorge Luis Lopez Esq,6998,Fri Oct 13 2017 22:02:29 GMT+0200 (CEST),8,Twitter,https://twitter.com/lopezgovlaw/status/918929958545907713
Aaron,0,Sat Oct 14 2017 22:44:01 GMT+0200 (CEST),1,Twitter,https://twitter.com/AaronFOX5ATL/status/919302797736185867
HWDRepublican,6293,Fri Oct 13 2017 20:46:31 GMT+0200 (CEST),0,Twitter,https://twitter.com/HWDRepublican/status/918910838899134465
3novices,806,Fri Oct 13 2017 20:51:37 GMT+0200 (CEST),0,Twitter,https://twitter.com/3novices/status/918912123035619328
Krunox,10224,Fri Oct 13 2017 20:45:39 GMT+0200 (CEST),0,Twitter,https://twitter.com/krunox123/status/918910620279431171
