Link: http://thesciencepost.com/anti-vaccers-petition-to-have-mercury-removed-from-solar-system/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
22737,17626,2491,2620,,

Source,Followers,Date,Interactions,Post Type,Link
The Credible Hulk,0,Sun Apr 02 2017 02:00:22 GMT+0200 (CEST),2475,Facebook,https://www.facebook.com/therealcrediblehulk/posts/1500452719986041
My Alliance with Science,146261,Fri Aug 04 2017 19:18:53 GMT+0200 (CEST),1127,Facebook,https://www.facebook.com/MAwScience/posts/1594530563914527
Dark Matters - Science and Skepticism Page,551564,Fri Aug 04 2017 20:03:20 GMT+0200 (CEST),994,Facebook,https://www.facebook.com/darkmatters42/posts/1122408807860850
The Credible Hulk,0,Sun Apr 17 2016 10:44:09 GMT+0200 (CEST),739,Facebook,https://www.facebook.com/therealcrediblehulk/posts/1154541127910537
Skeptical Meme Society,0,Tue May 09 2017 17:00:57 GMT+0200 (CEST),577,Facebook,https://www.facebook.com/SkepticalMemeSociety/posts/804003719752844
Thinking Rationally,66355,Sat Aug 05 2017 06:40:07 GMT+0200 (CEST),242,Facebook,https://www.facebook.com/ThinkingRationally/posts/1292886014171960
Criminalize Conservatism,16955,Tue Apr 19 2016 23:21:50 GMT+0200 (CEST),84,Facebook,https://www.facebook.com/CriminalizeConservatism/posts/956207297831415
Calgary Raging Grannies,2085,Mon Feb 12 2018 19:39:54 GMT+0100 (CET),29,Facebook,https://www.facebook.com/149773808411499/posts/1612281702160695
Carbon Tax! Whats Next?,8423,Sat Aug 05 2017 07:39:11 GMT+0200 (CEST),22,Facebook,https://www.facebook.com/CARBONTAXWHATSNEXT/posts/1542100035856529
Level Zero: Corporate EMS Burnouts,0,Wed Oct 05 2016 03:29:42 GMT+0200 (CEST),9,Facebook,https://www.facebook.com/LevelZeroEMS/posts/648843215292659
The Franklin (NZ) Grapevine - Open Sharing Group,0,Mon Apr 18 2016 10:16:56 GMT+0200 (CEST),9,Facebook,https://www.facebook.com/groups/838541062871347/permalink/1060789293979855
John Dixon #FBPE,1770,Sun Aug 06 2017 14:43:33 GMT+0200 (CEST),6,Twitter,https://twitter.com/JohnLDixon/status/894177122859851776
Science Humor,0,Sat Apr 16 2016 21:20:44 GMT+0200 (CEST),3,Facebook,https://www.facebook.com/groups/226096020786795/permalink/1202944806435240
Matej Praprotnik,9551,Sat Aug 05 2017 09:53:00 GMT+0200 (CEST),2,Twitter,https://twitter.com/praprotnix/status/893741615084384257
Alexander Biebricher,0,Fri May 12 2017 07:45:19 GMT+0200 (CEST),0,Twitter,https://twitter.com/alexbiebricher/status/862906512242618368
