Link: https://www.theatlantic.com/health/archive/2017/03/salt-vs-superbugs/518427/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
11317,7342,2627,1348,,

Source,Followers,Date,Interactions,Post Type,Link
The Atlantic,2008279,Fri Mar 03 2017 16:47:39 GMT+0100 (CET),2823,Facebook,https://www.facebook.com/TheAtlantic/posts/10155169618123487
Microbiology & Immunology,525957,Mon Mar 06 2017 20:30:33 GMT+0100 (CET),1112,Facebook,https://www.facebook.com/MicrobiologyAndImmunology/posts/1114734521988015
The Scope,802356,Mon Mar 06 2017 21:42:06 GMT+0100 (CET),1047,Facebook,https://www.facebook.com/TheScopeHP/posts/10154926359691083
HuffPost,9120402,Tue Mar 07 2017 13:15:00 GMT+0100 (CET),819,Facebook,https://www.facebook.com/HuffPost/posts/10154764262611130
The Scope,802341,Sun Mar 12 2017 14:23:24 GMT+0100 (CET),579,Facebook,https://www.facebook.com/TheScopeHP/posts/10154944938211083
American College of Chest Physicians,125049,Tue Mar 07 2017 15:01:35 GMT+0100 (CET),236,Facebook,https://www.facebook.com/accpchest/posts/10155082759468104
Happy You Happy Family,47303,Sat Mar 04 2017 20:55:00 GMT+0100 (CET),207,Facebook,https://www.facebook.com/happyyouhappyfamily/posts/1856154164603238
HuffPost Life,1618214,Tue Mar 07 2017 03:46:05 GMT+0100 (CET),153,Facebook,https://www.facebook.com/HuffPostLife/posts/10154430882641314
LuckyVitamin.com,172285,Mon Mar 06 2017 18:22:04 GMT+0100 (CET),125,Facebook,https://www.facebook.com/LuckyVitamin/posts/10154473920548174
The Atlantic,1492738,Sun Mar 05 2017 18:44:53 GMT+0100 (CET),112,Twitter,https://twitter.com/TheAtlantic/status/838445224540143617
The Atlantic,1490958,Fri Mar 03 2017 15:38:31 GMT+0100 (CET),108,Twitter,https://twitter.com/TheAtlantic/status/837673546243584001
Tomorrow's World - Magazine and Television program,271795,Fri Apr 07 2017 16:15:17 GMT+0200 (CEST),93,Facebook,https://www.facebook.com/tomorrowsworld/posts/10155394544143641
The Atlantic,1491778,Sat Mar 04 2017 10:37:18 GMT+0100 (CET),67,Twitter,https://twitter.com/TheAtlantic/status/837960130826227712
Sickweather,0,Sun Mar 05 2017 07:51:44 GMT+0100 (CET),49,Facebook,https://www.facebook.com/sickweather/posts/1234050299981358
Tracy Chou 🙅🏻‍♀️,34282,Fri Mar 03 2017 15:41:13 GMT+0100 (CET),39,Twitter,https://twitter.com/triketora/status/837674224877711364
20th CBRNE Command,0,Sat Mar 04 2017 23:25:15 GMT+0100 (CET),31,Facebook,https://www.facebook.com/20thCBRNECommand/posts/1458723694149668
Baylor College of Medicine,18628,Sat Mar 04 2017 15:00:00 GMT+0100 (CET),31,Facebook,https://www.facebook.com/BaylorCollegeOfMedicine/posts/10155132619828408
Microbes&Infection,0,Sat Mar 04 2017 00:11:20 GMT+0100 (CET),21,Twitter,https://twitter.com/MicrobesInfect/status/837802600569307137
CHEST,0,Tue Mar 07 2017 15:01:16 GMT+0100 (CET),18,Twitter,https://twitter.com/accpchest/status/839113724015308800
The Feedback Loop,2940,Sat Mar 04 2017 17:31:25 GMT+0100 (CET),14,Facebook,https://www.facebook.com/Resilient.Observer/posts/1262166587194081
The Scope,337306,Sun Mar 12 2017 16:28:25 GMT+0100 (CET),12,Twitter,https://twitter.com/TheScope/status/840947597523243008
David Priess,0,Sun Mar 12 2017 23:19:46 GMT+0100 (CET),12,Twitter,https://twitter.com/DavidPriess/status/841051113180782592
Helen Haskell,4037,Tue Mar 07 2017 01:33:24 GMT+0100 (CET),9,Twitter,https://twitter.com/hhask/status/838910418500390912
Michael Hingston,0,Fri Mar 03 2017 16:46:51 GMT+0100 (CET),7,Twitter,https://twitter.com/mhingston/status/837690743141494784
Aunt Fannie's,5847,Sat Mar 18 2017 15:00:00 GMT+0100 (CET),7,Facebook,https://www.facebook.com/auntfanniesco/posts/1369723039750668
The Scope,337434,Mon Mar 06 2017 22:09:19 GMT+0100 (CET),6,Twitter,https://twitter.com/TheScope/status/838859059273023488
Galaxy Diagnostics,611,Sat Mar 18 2017 14:01:19 GMT+0100 (CET),5,Twitter,https://twitter.com/Bartonella/status/843084904640462849
Tomorrow's World,53891,Fri Apr 07 2017 16:15:17 GMT+0200 (CEST),5,Twitter,https://twitter.com/tomorrowsworld/status/850351276143595522
Elizabeth Scalia,24770,Tue Mar 06 2018 14:41:54 GMT+0100 (CET),5,Twitter,https://twitter.com/TheAnchoress/status/971018032888807424
LoveBug Probiotics,0,Mon Mar 06 2017 23:01:14 GMT+0100 (CET),5,Facebook,https://www.facebook.com/LoveBugProbiotics/posts/634281650107990
UTMB Health,3183,Wed Apr 12 2017 18:10:40 GMT+0200 (CEST),4,Twitter,https://twitter.com/utmbhealth/status/852192252709490694
Richard Milani,0,Fri Mar 03 2017 22:05:01 GMT+0100 (CET),4,Twitter,https://twitter.com/rvmilani/status/837770811662548992
Erie County Department of Health (ECDOH),1055,Fri Mar 03 2017 18:21:40 GMT+0100 (CET),4,Facebook,https://www.facebook.com/ecdoh/posts/1364617233597195
Spencer Wells,4103,Tue Apr 04 2017 14:30:51 GMT+0200 (CEST),3,Twitter,https://twitter.com/spwells/status/849237829330894848
Michael F Ozaki MD,24969,Fri Mar 03 2017 16:56:51 GMT+0100 (CET),2,Twitter,https://twitter.com/brontyman/status/837693259384119296
