Link: https://www.huffingtonpost.com/entry/vaccine-refusal-rising-hpv_us_57c9b0fde4b078581f12d7b6
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
0,0,0,0,,

Source,Followers,Date,Interactions,Post Type,Link
HuffPost,8105625,Wed Sep 07 2016 01:00:10 GMT+0200 (CEST),5912,Facebook,https://www.facebook.com/HuffPost/posts/10154209606556130
HuffPost Women,1744039,Thu Sep 08 2016 09:00:19 GMT+0200 (CEST),1219,Facebook,https://www.facebook.com/HuffPostWomen/posts/1138645049536880
HuffPost Women,1745154,Sun Sep 11 2016 07:00:12 GMT+0200 (CEST),1099,Facebook,https://www.facebook.com/HuffPostWomen/posts/1141839109217474
National Vaccine Information Center,182675,Thu Sep 15 2016 18:31:47 GMT+0200 (CEST),1084,Facebook,https://www.facebook.com/national.vaccine.information.center/posts/10154345978382931
HuffPost Life,1466531,Wed Sep 07 2016 01:00:27 GMT+0200 (CEST),611,Facebook,https://www.facebook.com/HuffPostLife/posts/10153932834586314
HuffPost Life,1471857,Sun Sep 11 2016 19:00:06 GMT+0200 (CEST),127,Facebook,https://www.facebook.com/HuffPostLife/posts/10153944538451314
The Scope,314125,Sun Sep 11 2016 04:07:41 GMT+0200 (CEST),23,Twitter,https://twitter.com/TheScope/status/774791491982135297
The Scope,313534,Wed Sep 07 2016 04:41:35 GMT+0200 (CEST),17,Twitter,https://twitter.com/TheScope/status/773350473030070272
HuffPost Lifestyle,397996,Sat Sep 10 2016 23:39:45 GMT+0200 (CEST),12,Twitter,https://twitter.com/HPLifestyle/status/774724065831641088
The Scope,313534,Wed Sep 07 2016 01:11:08 GMT+0200 (CEST),9,Twitter,https://twitter.com/TheScope/status/773297509305356289
HuffPost Lifestyle,397751,Wed Sep 07 2016 00:55:31 GMT+0200 (CEST),6,Twitter,https://twitter.com/HPLifestyle/status/773293582723715072
97.1 QMG,71193,Wed Sep 07 2016 10:15:00 GMT+0200 (CEST),5,Facebook,https://www.facebook.com/971QMG/posts/10154515103124581
Barb Loe  NVIC,4622,Thu Sep 15 2016 18:31:45 GMT+0200 (CEST),3,Twitter,https://twitter.com/NVICLoeDown/status/776458495457628161
Kelsey 🖊🦓✨,0,Wed Sep 07 2016 15:19:06 GMT+0200 (CEST),1,Twitter,https://twitter.com/kelseyhardin_/status/773510908815536128
Shabbir Hossain  MD,0,Wed Sep 07 2016 05:01:11 GMT+0200 (CEST),1,Twitter,https://twitter.com/ShabbirHossain/status/773355405879619584
cherie.laiken.king🌻🌻🌻,0,Wed Sep 07 2016 09:57:59 GMT+0200 (CEST),0,Twitter,https://twitter.com/sunflwer1975/status/773430096682254336
Mark Willenbring  MD,0,Wed Sep 07 2016 16:03:37 GMT+0200 (CEST),0,Twitter,https://twitter.com/AddictionDrW/status/773522109968551936
