Link: https://vactruth.com/2016/07/27/vaccines-and-coercion/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
6080,3033,1715,1332,,

Source,Followers,Date,Interactions,Post Type,Link
vactruth.com,0,Wed Jul 27 2016 18:07:37 GMT+0200 (CEST),752,Facebook,https://www.facebook.com/vaccinetruth/posts/10153897773592989
Kelly the Kitchen Kop,57255,Sat Aug 06 2016 22:00:00 GMT+0200 (CEST),331,Facebook,https://www.facebook.com/KellytheKitchenKop/posts/10153616466321262
National Vaccine Information Center,180181,Thu Aug 04 2016 23:01:12 GMT+0200 (CEST),207,Facebook,https://www.facebook.com/national.vaccine.information.center/posts/10154227650722931
RAGE Against The Vaccines,0,Wed Jul 27 2016 19:01:33 GMT+0200 (CEST),200,Facebook,https://www.facebook.com/RageAgainstVaccines/posts/721560337981873
National Vaccine Information Center,179307,Thu Jul 28 2016 03:30:26 GMT+0200 (CEST),62,Facebook,https://www.facebook.com/national.vaccine.information.center/posts/10154206229052931
VaXism,0,Thu Jul 28 2016 02:17:30 GMT+0200 (CEST),60,Facebook,https://www.facebook.com/VaXismNEWS/posts/726120540864321
Vaccination Information Network (VINE),123382,Wed Jul 27 2016 19:22:57 GMT+0200 (CEST),41,Facebook,https://www.facebook.com/vaccinationinformationnetwork/posts/10155001611523998
Whole New Mom,81588,Wed Aug 10 2016 13:15:08 GMT+0200 (CEST),32,Facebook,https://www.facebook.com/WholeNewMom/posts/1069181359802811
Vaccination Information Network (VINE),123421,Thu Jul 28 2016 16:15:50 GMT+0200 (CEST),24,Facebook,https://www.facebook.com/vaccinationinformationnetwork/posts/10155004213068998
SANEVAX,0,Thu Jul 28 2016 00:37:46 GMT+0200 (CEST),11,Facebook,https://www.facebook.com/sanevax.inc/posts/1370482506313722
tonibark,2226,Wed Jul 27 2016 21:54:28 GMT+0200 (CEST),10,Twitter,https://twitter.com/doctorsensation/status/758390115110649857
Tennessee Medical Freedom Alliance,0,Wed Jul 27 2016 20:25:58 GMT+0200 (CEST),10,Facebook,https://www.facebook.com/etmfa/posts/643595582475102
Barb Loe  NVIC,4425,Thu Jul 28 2016 03:30:26 GMT+0200 (CEST),6,Twitter,https://twitter.com/NVICLoeDown/status/758474663370653696
Barb Loe  NVIC,5835,Wed May 17 2017 04:56:08 GMT+0200 (CEST),5,Twitter,https://twitter.com/NVICLoeDown/status/864675875719192577
Barb Loe  NVIC,4419,Sun Jul 31 2016 07:18:17 GMT+0200 (CEST),3,Twitter,https://twitter.com/NVICLoeDown/status/759619169176485888
Barb Loe  NVIC,6107,Fri Jul 28 2017 15:03:02 GMT+0200 (CEST),3,Twitter,https://twitter.com/NVICLoeDown/status/890920533323382784
Barb Loe  NVIC,4429,Thu Jul 28 2016 19:58:29 GMT+0200 (CEST),2,Twitter,https://twitter.com/NVICLoeDown/status/758723316484038656
Barb Loe  NVIC,4430,Sat Jul 30 2016 03:36:05 GMT+0200 (CEST),1,Twitter,https://twitter.com/NVICLoeDown/status/759200861495123971
Barb Loe  NVIC,4438,Tue Aug 02 2016 13:57:04 GMT+0200 (CEST),1,Twitter,https://twitter.com/NVICLoeDown/status/760444300656336896
Barb Loe  NVIC,5622,Wed Apr 05 2017 16:41:05 GMT+0200 (CEST),1,Twitter,https://twitter.com/NVICLoeDown/status/849632994188984321
Victor Talha,0,Fri Jul 29 2016 08:33:41 GMT+0200 (CEST),0,Twitter,https://twitter.com/VictorTalha/status/758913367906017281
