Link: https://yournewswire.com/millions-italians-mandatory-vaccination/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
0,0,0,0,,

Source,Followers,Date,Interactions,Post Type,Link
Thrive,306560,Fri Jul 07 2017 18:48:00 GMT+0200 (CEST),3048,Facebook,https://www.facebook.com/ThriveMovement/posts/1768242866526731
The People's Voice,699323,Thu Jul 06 2017 19:20:00 GMT+0200 (CEST),2906,Facebook,https://www.facebook.com/thepeoplesvoicetv/posts/929234300557345
vactruth.com,111266,Mon Jul 10 2017 18:00:00 GMT+0200 (CEST),1668,Facebook,https://www.facebook.com/vaccinetruth/posts/10154906048367989
The Refusers,81560,Thu Jul 06 2017 23:28:08 GMT+0200 (CEST),1190,Facebook,https://www.facebook.com/TheRefusers/posts/1449401578430644
The People's Voice,699368,Mon Jul 10 2017 11:00:00 GMT+0200 (CEST),777,Facebook,https://www.facebook.com/thepeoplesvoicetv/posts/931667116980730
The People's Voice,699346,Fri Jul 07 2017 08:00:00 GMT+0200 (CEST),659,Facebook,https://www.facebook.com/thepeoplesvoicetv/posts/929383590542416
Dr. Peter Dobias - Natural Healing for Dogs,93658,Sun Jul 16 2017 14:41:00 GMT+0200 (CEST),575,Facebook,https://www.facebook.com/drpeterdobias/posts/10155026395537730
Dr Wakefield's work must continue,19029,Fri Jul 07 2017 22:30:19 GMT+0200 (CEST),498,Facebook,https://www.facebook.com/DrAndrewWakefield/posts/10154917560468165
Mystery  history, space and time.,158313,Fri Jul 07 2017 16:25:51 GMT+0200 (CEST),478,Facebook,https://www.facebook.com/MysteryHistorySpaceAndTime/posts/1389707357771855
Your News Wire,24636,Tue Jul 11 2017 21:31:01 GMT+0200 (CEST),180,Facebook,https://www.facebook.com/yournewswire/posts/1872268629704358
National Health Federation,5412,Sat Jul 08 2017 03:58:20 GMT+0200 (CEST),157,Facebook,https://www.facebook.com/nationalhealthfederation/posts/1587350697963618
Truth_Is_Scary,79989,Fri Jul 07 2017 01:52:51 GMT+0200 (CEST),139,Facebook,https://www.facebook.com/TruthIsScary/posts/1792175807474428
Autism Mothers,220649,Wed Jul 12 2017 22:56:37 GMT+0200 (CEST),108,Facebook,https://www.facebook.com/AutismMothers/posts/10154586070832653
Arnica - Parents' Support Network  Promoting Natural Immunity,0,Fri Jul 07 2017 16:19:16 GMT+0200 (CEST),13,Facebook,https://www.facebook.com/groups/98258276788/permalink/10155885050676789
Anonymous - The Singularity Project,37995,Tue Aug 08 2017 11:07:10 GMT+0200 (CEST),11,Facebook,https://www.facebook.com/AnonweareLegion/posts/744034529115662
Conspiracy Theory (it is true),0,Sat Jul 08 2017 05:43:41 GMT+0200 (CEST),10,Facebook,https://www.facebook.com/135024476554859/posts/1475780469145913
Bambi L Albert,1519,Sun Jul 09 2017 18:30:53 GMT+0200 (CEST),1,Twitter,https://twitter.com/blamom/status/884087472724037632
Prieteni cărora le place Klaus Iohannis,0,Mon Jul 10 2017 11:35:10 GMT+0200 (CEST),1,Facebook,https://www.facebook.com/groups/1284449021586947/permalink/1640158556015990
AussieGirl,2044,Sun Jul 09 2017 12:08:45 GMT+0200 (CEST),0,Twitter,https://twitter.com/Nonamebugga/status/883991306632011776
Barefoot N' Sideways,0,Mon Jul 10 2017 10:30:12 GMT+0200 (CEST),0,Twitter,https://twitter.com/BNS604/status/884328893209083904
Inge-Mo Haraldh,0,Sat Jul 08 2017 21:17:21 GMT+0200 (CEST),0,Twitter,https://twitter.com/ingemoh/status/883766975243182082
JUSTITIE -DREPTATE SI ADEVAR.,0,Mon Jul 10 2017 11:35:44 GMT+0200 (CEST),0,Facebook,https://www.facebook.com/groups/595308737237054/permalink/1119935361441053
