Link: https://yournewswire.com/baby-bobby-removed-gunpoint-vaccinate/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
0,0,0,0,,

Source,Followers,Date,Interactions,Post Type,Link
Stop Mandatory Vaccination,85050,Thu Oct 26 2017 03:50:45 GMT+0200 (CEST),1407,Facebook,https://www.facebook.com/StopMandatoryVaccinationNow/posts/1140493179416339
The People's Voice,734081,Wed Oct 25 2017 20:40:01 GMT+0200 (CEST),752,Facebook,https://www.facebook.com/thepeoplesvoicetv/posts/1002489563231818
vactruth.com,113588,Thu Oct 26 2017 19:09:49 GMT+0200 (CEST),656,Facebook,https://www.facebook.com/vaccinetruth/posts/10155203167332989
The People's Voice,735389,Thu Oct 26 2017 09:20:00 GMT+0200 (CEST),231,Facebook,https://www.facebook.com/thepeoplesvoicetv/posts/1002524663228308
Vaccination Information Network (VINE),143644,Fri Oct 27 2017 23:25:06 GMT+0200 (CEST),214,Facebook,https://www.facebook.com/vaccinationinformationnetwork/posts/10156671560073998
Vaccination Information Network (VINE),143622,Thu Oct 26 2017 03:51:43 GMT+0200 (CEST),214,Facebook,https://www.facebook.com/vaccinationinformationnetwork/posts/10156666187088998
The People's Voice,737497,Sun Oct 29 2017 07:20:00 GMT+0100 (CET),164,Facebook,https://www.facebook.com/thepeoplesvoicetv/posts/1004692993011475
Arnica - Parents' Support Network  Promoting Natural Immunity,28065,Thu Oct 26 2017 21:49:19 GMT+0200 (CEST),117,Facebook,https://www.facebook.com/groups/98258276788/permalink/10156446703281789
THE GREAT AWAKENING,0,Fri Oct 27 2017 04:35:48 GMT+0200 (CEST),34,Facebook,https://www.facebook.com/THEGREATAWAKENING1/posts/10155001865512967
Diane Abbott is a Racist Bigot,0,Wed Nov 08 2017 21:59:57 GMT+0100 (CET),1,Facebook,https://www.facebook.com/151190801580669/posts/1740491862650547
JUSTITIE -DREPTATE SI ADEVAR.,93489,Thu Oct 26 2017 17:38:03 GMT+0200 (CEST),1,Facebook,https://www.facebook.com/groups/595308737237054/permalink/1213497045418217
JUSTITIE -DREPTATE SI ADEVAR.,93472,Fri Oct 27 2017 13:53:27 GMT+0200 (CEST),1,Facebook,https://www.facebook.com/groups/595308737237054/permalink/1214182515349670
London Newslive,812,Wed Mar 07 2018 21:30:50 GMT+0100 (CET),0,Facebook,https://www.facebook.com/328618297341377/posts/765327983670404
ANTI-MAFIA POLITICĂ,7469,Thu Oct 26 2017 17:39:10 GMT+0200 (CEST),0,Facebook,https://www.facebook.com/groups/252602041503139/permalink/1435016433261688
