Link: http://vaccineimpact.com/2015/top-california-pediatricians-dont-dictate-vaccines-to-parents/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
5130,4339,436,355,,

Source,Followers,Date,Interactions,Post Type,Link
National Vaccine Information Center,122138,Wed Apr 08 2015 03:31:05 GMT+0200 (CEST),2069,Facebook,https://www.facebook.com/national.vaccine.information.center/posts/10153132368987931
vactruth.com,0,Tue Apr 07 2015 23:00:02 GMT+0200 (CEST),819,Facebook,https://www.facebook.com/vaccinetruth/posts/10152869223647989
vactruth.com,0,Sun Apr 10 2016 21:00:00 GMT+0200 (CEST),332,Facebook,https://www.facebook.com/vaccinetruth/posts/10153659536197989
Vaccination Information Network (VINE),0,Wed Apr 08 2015 16:48:55 GMT+0200 (CEST),141,Facebook,https://www.facebook.com/vaccinationinformationnetwork/posts/10153711878113998
VaccineImpact,0,Tue Apr 07 2015 20:09:37 GMT+0200 (CEST),89,Facebook,https://www.facebook.com/VaccineImpact/posts/836293089784006
Vaccination Information Network (VINE),118370,Sun Apr 10 2016 21:44:24 GMT+0200 (CEST),67,Facebook,https://www.facebook.com/vaccinationinformationnetwork/posts/10154696365873998
The Progressive Radio Network,53983,Fri May 22 2015 16:54:44 GMT+0200 (CEST),44,Facebook,https://www.facebook.com/PRNfm/posts/10153359026435522
Vaccination Information Network (VINE),118407,Mon Apr 11 2016 08:07:26 GMT+0200 (CEST),19,Facebook,https://www.facebook.com/vaccinationinformationnetwork/posts/10154697689758998
Stop Mandatory Vaccination,0,Wed Apr 08 2015 11:02:29 GMT+0200 (CEST),14,Facebook,https://www.facebook.com/StopMandatoryVaccinationNow/posts/625761580889504
SANEVAX,0,Mon Apr 11 2016 07:56:56 GMT+0200 (CEST),10,Facebook,https://www.facebook.com/sanevax.inc/posts/1292258297469477
Natural Blaze,0,Thu Apr 09 2015 01:40:00 GMT+0200 (CEST),7,Facebook,https://www.facebook.com/Naturalblazers/posts/672350332910598
Robert A Adjutant,2859,Mon Apr 11 2016 23:32:08 GMT+0200 (CEST),0,Twitter,https://twitter.com/wizardQi/status/719639190863003648
