Link: http://lesmoutonsrebelles.com/liste-des-scientifiques-tues-de-1994-a-2015-ils-etaient-tous-sur-le-point-de-changer-le-monde-ou-de-denoncer-des-complots/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
25831,15495,8746,1590,,

Source,Followers,Date,Interactions,Post Type,Link
La vérité sur notre monde,332654,Tue Mar 21 2017 16:56:15 GMT+0100 (CET),6215,Facebook,https://www.facebook.com/lesmoutonsrebelles/posts/945195622250622
La vérité sur notre monde,472609,Tue Sep 05 2017 08:00:00 GMT+0200 (CEST),4035,Facebook,https://www.facebook.com/lesmoutonsrebelles/posts/1072128879557295
La vérité sur notre monde,510837,Mon Oct 16 2017 20:35:11 GMT+0200 (CEST),2674,Facebook,https://www.facebook.com/lesmoutonsrebelles/posts/1100773563359493
Le Monde Invisible,0,Wed Mar 22 2017 17:16:41 GMT+0100 (CET),2032,Facebook,https://www.facebook.com/LeMondeInvisiblespiritualiteParanormal/posts/1308331842565698
La vérité sur notre monde,619277,Tue Mar 27 2018 08:18:27 GMT+0200 (CEST),445,Facebook,https://www.facebook.com/lesmoutonsrebelles/posts/1230224437081071
Infos tous sujets et pays,133966,Wed Sep 27 2017 11:31:23 GMT+0200 (CEST),240,Facebook,https://www.facebook.com/infosdiversesbyJazz/posts/1475038395922805
Infos tous sujets et pays,133849,Mon Oct 16 2017 20:42:20 GMT+0200 (CEST),85,Facebook,https://www.facebook.com/infosdiversesbyJazz/posts/1492811677478810
Infos tous sujets et pays,134009,Fri Sep 29 2017 09:19:25 GMT+0200 (CEST),39,Facebook,https://www.facebook.com/infosdiversesbyJazz/posts/1476647085761936
