Link: https://www.huffingtonpost.com/entry/jenna-bush-hager-reminds-americans-that-vaccines-are-a-privilege_us_580f9996e4b000d0b158e870
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
0,0,0,0,,

Source,Followers,Date,Interactions,Post Type,Link
HuffPost Women,1780626,Wed Oct 26 2016 03:00:38 GMT+0200 (CEST),3571,Facebook,https://www.facebook.com/HuffPostWomen/posts/1183623018372416
HuffPost Entertainment,1094758,Wed Oct 26 2016 07:00:12 GMT+0200 (CEST),679,Facebook,https://www.facebook.com/HuffPostEntertainment/posts/10154638367462363
HuffPost Life,1515766,Tue Oct 25 2016 23:06:30 GMT+0200 (CEST),555,Facebook,https://www.facebook.com/HuffPostLife/posts/10154061326586314
We Love GMOs and Vaccines,82878,Tue Oct 25 2016 22:38:43 GMT+0200 (CEST),437,Facebook,https://www.facebook.com/welovegv/posts/1806434262959954
Skeptical Inquirer,151774,Wed Nov 02 2016 14:31:58 GMT+0100 (CET),227,Facebook,https://www.facebook.com/skepticalinquirer/posts/10154001685217621
Voices for Vaccines,0,Wed Oct 26 2016 19:01:39 GMT+0200 (CEST),180,Facebook,https://www.facebook.com/VoicesForVaccines/posts/1110134669106473
Center for Inquiry,0,Wed Oct 26 2016 15:39:20 GMT+0200 (CEST),97,Facebook,https://www.facebook.com/centerforinquiry/posts/10154181025089773
The Thinking Moms' Revolution,57988,Fri Oct 28 2016 22:02:49 GMT+0200 (CEST),92,Facebook,https://www.facebook.com/thinkingmomsrevolution/posts/995735223869851
Seth Mnookin,34812,Tue Oct 25 2016 22:58:25 GMT+0200 (CEST),48,Twitter,https://twitter.com/sethmnookin/status/791021116391301120
National Foundation for Infectious Diseases,0,Wed Oct 26 2016 23:00:01 GMT+0200 (CEST),39,Facebook,https://www.facebook.com/nfidvaccines/posts/772940496178411
Michigan Department of Health and Human Services,11336,Mon Oct 31 2016 23:00:00 GMT+0100 (CET),34,Facebook,https://www.facebook.com/michiganhhs/posts/10153854171951746
Tara C. Smith,1122,Wed Oct 26 2016 01:58:39 GMT+0200 (CEST),32,Facebook,https://www.facebook.com/taracsmithphd/posts/991942997582813
HuffPost Ent,128628,Wed Oct 26 2016 06:00:15 GMT+0200 (CEST),24,Twitter,https://twitter.com/HuffPostEnt/status/791127273785139200
Center for Inquiry,0,Wed Oct 26 2016 15:10:30 GMT+0200 (CEST),21,Twitter,https://twitter.com/center4inquiry/status/791265751470632960
The Scope,321494,Wed Oct 26 2016 01:41:24 GMT+0200 (CEST),19,Twitter,https://twitter.com/TheScope/status/791062133287026688
HuffPost Impact,119027,Sun Oct 30 2016 23:57:35 GMT+0100 (CET),16,Twitter,https://twitter.com/HuffPostImpact/status/792863045756264448
HuffPost Ent,128806,Mon Oct 31 2016 06:12:26 GMT+0100 (CET),15,Twitter,https://twitter.com/HuffPostEnt/status/792957380275343360
HuffPost Impact,118978,Wed Oct 26 2016 21:52:17 GMT+0200 (CEST),14,Twitter,https://twitter.com/HuffPostImpact/status/791366862957322240
Secular Coalition for America,0,Wed Oct 26 2016 19:00:03 GMT+0200 (CEST),13,Twitter,https://twitter.com/seculardotorg/status/791323519120539648
The Scope,321494,Wed Oct 26 2016 00:18:51 GMT+0200 (CEST),12,Twitter,https://twitter.com/TheScope/status/791041360853893120
Outspeak,77241,Wed Oct 26 2016 18:09:00 GMT+0200 (CEST),9,Facebook,https://www.facebook.com/ThisIsOutspeak/posts/613922788789874
Shot@Life,13784,Thu Nov 03 2016 19:21:03 GMT+0100 (CET),7,Twitter,https://twitter.com/ShotAtLife/status/794243006509514752
Outspeak,0,Wed Oct 26 2016 18:10:02 GMT+0200 (CEST),7,Twitter,https://twitter.com/thisisoutspeak/status/791310931800260609
HuffPost Lifestyle,402052,Tue Oct 25 2016 23:35:56 GMT+0200 (CEST),4,Twitter,https://twitter.com/HPLifestyle/status/791030558142918656
UNITY Consortium,0,Fri Nov 04 2016 21:17:34 GMT+0100 (CET),4,Facebook,https://www.facebook.com/unity4teenvax/posts/1668678513444674
Michael F Ozaki MD,20222,Tue Oct 25 2016 22:00:20 GMT+0200 (CEST),3,Twitter,https://twitter.com/brontyman/status/791006498822328320
Anna Almendrala,2022,Tue Oct 25 2016 21:30:37 GMT+0200 (CEST),2,Twitter,https://twitter.com/annaalmendrala/status/790999020630007808
Woody,1575,Tue Oct 25 2016 21:40:29 GMT+0200 (CEST),0,Twitter,https://twitter.com/Harley_Woody/status/791001503288795136
Jessica Levenson,0,Wed Oct 26 2016 00:24:12 GMT+0200 (CEST),0,Twitter,https://twitter.com/guerillagirl/status/791042707057762304
Rotary Club of Lake Forest Park,96,Tue Oct 25 2016 22:19:50 GMT+0200 (CEST),0,Facebook,https://www.facebook.com/rotarycluboflakeforestpark/posts/1062810517172425
