Link: https://yournewswire.com/wow-italian-court-rules-vaccine-caused-autism-us-media-blacks-out-story/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
0,0,0,0,,

Source,Followers,Date,Interactions,Post Type,Link
The People's Voice,0,Mon Nov 17 2014 16:40:01 GMT+0100 (CET),4312,Facebook,https://www.facebook.com/thepeoplesvoicetv/posts/407435222737258
The People's Voice,0,Tue Mar 08 2016 21:20:11 GMT+0100 (CET),1113,Facebook,https://www.facebook.com/thepeoplesvoicetv/posts/614784598668985
New BLACK Wallstreet,60572,Wed May 11 2016 11:21:44 GMT+0200 (CEST),604,Facebook,https://www.facebook.com/newblkwall/posts/1123381451047528
The People's Voice,0,Tue Nov 18 2014 21:00:00 GMT+0100 (CET),537,Facebook,https://www.facebook.com/thepeoplesvoicetv/posts/407875979359849
The People's Voice,0,Fri Mar 11 2016 17:00:02 GMT+0100 (CET),508,Facebook,https://www.facebook.com/thepeoplesvoicetv/posts/615996858547759
The People's Voice,0,Wed Mar 09 2016 10:20:00 GMT+0100 (CET),182,Facebook,https://www.facebook.com/thepeoplesvoicetv/posts/614856551995123
Stranger Than Fiction News,0,Tue Mar 08 2016 22:15:35 GMT+0100 (CET),65,Facebook,https://www.facebook.com/stfnews/posts/1010513245692452
Your News Wire,0,Tue Mar 08 2016 22:02:01 GMT+0100 (CET),35,Facebook,https://www.facebook.com/yournewswire/posts/1657419994522557
Sveriges Alternativa Medier,0,Thu Nov 20 2014 09:18:36 GMT+0100 (CET),31,Facebook,https://www.facebook.com/SverigesAlternativaMedier/posts/586775578119836
Your News Wire,0,Mon Nov 17 2014 21:00:00 GMT+0100 (CET),24,Facebook,https://www.facebook.com/yournewswire/posts/1496698060594752
Climate Change Discussion,0,Sun May 15 2016 05:17:35 GMT+0200 (CEST),14,Facebook,https://www.facebook.com/groups/112838178884350/permalink/599840540184109
Paradigm Shift - An Educational Comedy,0,Tue Nov 18 2014 16:29:45 GMT+0100 (CET),10,Facebook,https://www.facebook.com/paradigmshiftaneducationalcomedy/posts/729091600513889
Light Up Trump's Christmas Caboose,0,Sat May 14 2016 16:51:08 GMT+0200 (CEST),1,Facebook,https://www.facebook.com/1000917043293023/posts/1135751049809621
Arizona Politics,0,Tue Nov 18 2014 02:00:53 GMT+0100 (CET),1,Facebook,https://www.facebook.com/groups/89957494926/permalink/10152783831889927
Paradigm Shift - An Educational Comedy,53374,Tue Jul 26 2016 23:14:28 GMT+0200 (CEST),0,Facebook,https://www.facebook.com/paradigmshiftaneducationalcomedy/posts/1065839943505718
